DATE,TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
12/6/16,14:12,40.6763115,-73.8026873,0,0,0,0,0,0,0,0
12/6/16,14:12,40.7139775,-73.9530878,0,0,0,0,0,0,0,0
12/6/16,14:12,40.8439065,-73.927275,0,0,0,0,0,0,0,0
10/22/16,5:10,40.6796759,-73.8786294,0,0,0,0,0,0,0,0
10/22/16,5:10,40.5976481,-73.9867198,0,0,0,0,0,0,0,0
10/22/16,5:10,40.7485121,-73.9887144,0,0,0,0,0,0,0,0
10/22/16,6:10,40.8402259,-73.9176827,0,0,0,0,0,0,0,0
12/6/16,15:12,40.551018,-74.1698451,0,0,0,0,0,0,0,0
12/6/16,16:12,40.7700733,-73.9513989,0,0,0,0,0,0,0,0
12/6/16,16:12,40.7768717,-73.9097815,0,0,0,0,0,0,0,0
12/6/16,16:12,40.770284,-73.8680515,0,0,0,0,0,0,0,0
12/6/16,16:12,40.820139,-73.89028,0,0,0,0,0,0,0,0
10/22/16,6:10,40.5573301,-74.1530118,0,0,0,0,0,0,0,0
10/22/16,6:10,40.8768785,-73.9033901,1,0,1,0,0,0,0,0
10/22/16,6:10,40.7572323,-73.9897922,1,0,1,0,0,0,0,0
10/22/16,6:10,40.7304453,-73.9136638,1,0,1,0,0,0,0,0
12/6/16,17:12,40.8410516,-73.944679,0,0,0,0,0,0,0,0
12/6/16,17:12,40.7608228,-73.9983142,0,0,0,0,0,0,0,0
11/3/16,10:11,40.697257,-73.7973111,0,0,0,0,0,0,0,0
11/3/16,10:11,40.6107448,-74.0958285,0,0,0,0,0,0,0,0
12/6/16,17:12,40.778872,-73.9432348,0,0,0,0,0,0,0,0
12/6/16,17:12,40.6350987,-73.9642156,1,0,1,0,0,0,0,0
11/3/16,8:11,40.6598564,-73.9200823,0,0,0,0,0,0,0,0
10/14/16,8:10,40.7727075,-73.9494762,0,0,0,0,0,0,0,0
12/6/16,22:12,40.8571356,-73.9097811,0,0,0,0,0,0,0,0
12/6/16,22:12,40.7210319,-73.9923375,0,0,0,0,0,0,0,0
10/22/16,8:10,40.5050116,-74.2407338,0,0,0,0,0,0,0,0
10/21/16,10:10,40.6090498,-73.970896,0,0,0,0,0,0,0,0
12/6/16,23:12,40.6556338,-73.9598617,0,0,0,0,0,0,0,0
12/6/16,23:12,40.7575892,-73.9906187,0,0,0,0,0,0,0,0
12/6/16,23:12,40.7599305,-73.991528,0,0,0,0,0,0,0,0
12/6/16,23:12,40.7462317,-73.8903671,0,0,0,0,0,0,0,0
10/21/16,10:10,40.5808245,-73.9598598,0,0,0,0,0,0,0,0
10/21/16,10:10,40.5775851,-73.9669175,0,0,0,0,0,0,0,0
